  3  3  3  6  6  6
  4  3  5  8  6  5
  3  3  3  7  8  7 
  4  1  4  7  9  7
  4  4  5  6  7  7
  3  3  5  7  7  8
  5  1  5  7  8  8
  4  1  4 10  9  6
  3  3  3  9  9  7
  5  1  4  8  8  8
  5  1  5  8  8  7
  4  1  5  8  9  8
  5  5  5  6  7  7
  5  1  5  8  8  9
  5  4  3  8  8  8
  5  3  4  8  8  8
  5  2  5  9  7  8
  4  1  4  8 10  9
  4  1  4  9  9  9
  4  1  4  9 11  8
  5  1  5  7  9 10
  5  4  4  8  8  8
  5  2  5  8  8  9
  5  1  4  9  9  9
  5  1  5  9  9  8
  4  1  3 12  9  9
  5  2  5  9  9  8
  4  1  4  8 10 11
  5  2  4  9  9  9
  5  1  4  9 10  9
  5  1  4 10 10  9
  4  3  4  8 10 10
  5  1  4 11  8 10
  4  2  5 10  9  9
  5  2  4 10 10  8
  4  3  4 10 10  8
  5  1  5 10 10  8
  4  2  4 10  9 10
  5  3  5  8  8 10
  5  3  5  9  9  9
  5  1  5 10  9 10
  4  2  4 10 10 10
  4  1  5 10 10 10
  5  1  4 11 10  9
  4  2  5 10  9 10
  4  2  4 10 10 10
  5  5  5  9  7  9
  5  4  5 10  9  7
  4  2  4 10 10 10
  5  1  5 10 10  9
  5  2  5 10 10  8
  3  2  5 10 10 10
  5  1  5  9 10 10
  5  2  4 11 10  9
  5  2  5 10 10  9
  5  1  5 10 10 10
  5  1  5 10 10 10
  5  1  5 10 10 10
  5  2  4 10 10 10
  5  2  4 10 10 10
  4  4  5  9 10  9
  4  2  5  9 11 10
  5  3  4 10 10  9
  5  3  5  9 10  9
  4  3  4 10 10 10
  5  2  4 10 10 10
  5  1  5 11 10  9
  5  1  4 10 12 10
  5  1  5 11 10 10
  4  5  5  8 10 10
  4  3  5 10 10 10
  5  1  5  7 12 12
  5  2  5 11 10  9
  5  4  5 10 10  9
  5  4  4 10  9 11
  5  1  5 11 11 10
  5  3  5 10 10 10
  5  1  5 10 10 12
  5  2  5 11 10 10
  5  1  4 10 12 11
  5  3  5 11  9 10
  5  1  3 12 12 10
  5  1  5 11 11 11
  5  3  5 10  9 12
  5  1  5 11 11 11
  4  2  4 12 12 10
  5  1  5 12 10 11
  5  3  5 11 10 10
  4  1  4 12 12 12
  5  5  5  9 11 10
  5  1  5 12 11 11
  5  1  4 12 12 11
  5  2  5 12 11 10
  5  1  5 11 12 11
  5  1  5 12 12 11
  5  1  5 12 12 11
  5  3  5  9 12 12
  5  1  5 12 12 11
  5  5  5 11 10 10
  5  1  5 12 12 11
  4  2  4 12 12 12
  3  3  4 12 12 12
  5  1  4 12 12 12
  5  1  5 12 11 12
  5  1  5 12 12 12
  5  1  5 12 12 12
  5  1  5 12 12 12
  5  1  5 12 12 12
  5  1  5 12 12 12
  5  2  5 12 12 11
  5  2  5 12 12 11
  4  2  5 12 12 12
  5  5  5 12 10 10
  5  3  5 12 12 10
  5  3  5 12 11 11
  5  1  5 12 12 12
  5  3  5 12 12 11
  5  2  5 12 12 12
  5  3  5 12 12 12
  5  5  5 12 11 11
  5  5  4 12 12 12
