    2.67    7.00    4.33    3.00    3.67    3.33    4.00    3.67       0
    3.67    6.67    4.00    3.67    4.67    3.67    4.00    3.67       0 
    4.00    7.67    4.33    2.67    3.67    4.00    3.67    4.00       0
    4.67    8.00    4.00    3.00    4.67    4.33    3.67    4.00       0
    2.67    7.67    4.33    3.33    4.00    4.00    4.00    4.00       0
    3.33    7.67    4.67    4.33    4.33    4.33    4.00    4.00       0
    4.00    8.00    4.00    4.00    4.67    4.67    4.33    4.00       0
    3.67    8.33    4.33    3.33    4.67    4.67    4.33    4.33       0
    5.00    9.67    5.00    5.00    5.00    5.00    4.33    4.33       0
    5.00   10.00    3.33    4.00    5.00    5.67    5.33    4.67       0
    4.67   11.00    3.00    4.33    4.00    5.33    5.00    5.00       0
    3.33    9.00    4.67    4.33    5.00    5.00    5.00    5.33       0
    3.67    7.33    3.67    2.33    3.67    4.00    2.67    2.33       0
    3.67    9.67    1.00    4.67    4.33    6.00    6.00    3.00       0
    3.00    9.00    3.67    4.00    4.67    5.33    4.33    4.33       0
    4.67   10.00    5.33    4.67    5.00    6.00    6.00    4.33       0
    4.67   10.00    3.67    3.67    4.00    4.00    4.33    4.67       0
    4.67   10.33    4.67    4.00    5.00    6.00    6.00    4.67       0
    4.67   11.33    5.33    5.00    5.67    6.00    6.00    5.33       0
    4.67   11.67    5.67    5.67    4.67    5.33    6.00    5.67       0
    3.33    8.67    4.00    4.00    4.00    4.00    4.00    3.67       0
    3.00    8.33    4.00    4.00    4.00    5.00    4.67    4.67       0
    4.67   12.00    5.00    5.33    6.00    6.00    6.00    6.00       0
    4.33    8.33    4.00    3.67    4.00    3.67    3.00    3.67       0
    3.67    7.67    4.33    4.33    3.67    5.00    4.33    4.33       0
    4.00    8.67    4.00    3.67    4.33    5.00    4.33    4.33       0
    5.00   10.00    4.33    5.33    5.00    6.00    4.67    4.33       0
    5.00   12.00    5.00    4.00    5.67    5.33    6.00    5.33       0
    3.33    7.67    2.33    4.33    6.00    6.00    5.00    5.00       0
    4.33   11.33    5.00    5.67    5.00    6.00    5.67    5.00       0
    3.33   10.67    4.67    5.33    5.33    5.00    5.67    5.33       0
    4.33   11.00    5.00    4.67    5.00    6.00    5.67    5.67       0
    4.67    8.00    2.00    4.33    3.00    5.00    5.33    3.33       1
    3.00    9.33    4.33    4.33    4.67    4.33    4.33    4.33       1
    4.00    9.67    5.00    5.00    4.00    6.00    5.67    5.00       1
    4.67   11.00    5.33    3.67    5.00    5.33    5.00    6.00       1
    3.00    8.33    4.67    5.33    4.33    4.67    4.67    4.67       1
    4.33    9.67    5.00    4.67    5.00    5.00    4.67    4.67       1
    5.00   10.33    4.00    5.00    4.33    5.00    5.00    3.00       1
    3.67    9.33    4.00    3.00    3.67    5.00    5.00    4.33       1
    4.00   10.33    4.67    5.00    5.00    5.33    5.67    5.33       1
    4.33   10.00    4.33    4.00    4.00    4.33    4.33    3.33       1
    3.33    9.33    3.33    4.67    4.00    4.33    3.00    4.33       1
    2.00    7.33    3.67    3.00    3.00    3.67    4.00    4.33       1
    4.67    9.33    4.67    5.67    5.00    6.00    6.00    4.33       1
    3.33    8.00    4.00    4.67    4.00    5.00    4.00    5.33       1
    5.00   11.00    5.00    4.67    5.00    6.00    5.67    5.67       1
    3.00    7.33    3.67    3.33    4.33    4.67    4.00    3.67       1
    3.33   10.33    5.00    3.67    3.00    4.00    4.33    3.67       1
    4.67   10.00    4.33    4.67    4.00    4.33    2.67    4.33       1
    3.33    8.33    4.00    4.00    4.33    6.00    4.00    4.33       1
    4.67   10.00    4.33    4.00    4.33    5.33    4.67    4.33       1
    4.33    9.00    4.67    3.67    4.33    5.00    4.67    4.67       1
    4.33   10.00    5.00    5.00    5.00    5.00    5.00    5.00       1
    4.00   10.00    4.67    5.00    5.00    5.00    4.33    6.00       1
    4.33    7.33    4.00    3.67    4.33    4.67    4.67    6.00       1
    3.33    4.33    2.33    1.00    2.67    5.33    2.00    2.00       1
    3.00    8.00    3.67    3.33    3.67    6.00    4.33    2.67       1
    4.33    8.00    4.00    4.67    4.67    6.00    5.67    3.67       1
    3.33    7.33    3.00    4.33    4.67    6.00    4.33    4.00       1
    4.33   12.00    5.00    4.67    4.33    4.67    4.33    4.33       1
    4.67   10.67    3.33    4.67    6.00    4.67    5.67    4.33       1
    3.67    7.00    4.00    3.00    3.00    5.00    3.67    5.00       1
    5.00   10.67    4.33    4.00    3.00    6.00    6.00    5.00       1
    5.00   11.00    4.67    4.67    5.33    5.67    5.67    5.33       1
    5.00    9.67    4.00    4.33    4.33    5.00    5.00    4.67       1
    4.67   10.00    5.00    4.67    5.00    4.67    5.67    5.67       1
    5.00    8.67    4.00    6.00    4.33    4.00    4.33    3.33       1
    4.33   10.00    4.67    4.67    3.00    3.67    3.00    5.33       1
    3.33    6.67    3.33    4.33    3.33    4.00    3.33    2.33       1
    3.67   10.00    4.00    3.33    3.33    4.00    4.00    3.67       1
    3.67    7.67    2.67    3.67    3.67    4.00    3.33    4.00       1
    4.33    7.33    4.00    4.67    3.67    5.00    3.67    4.67       1
    2.67    9.00    4.00    4.33    4.33    5.00    4.33    4.67       1
    4.33   12.00    4.67    6.00    3.67    6.00    6.00    5.33       1
    3.67    9.00    4.67    5.33    4.00    4.67    5.67    2.33       1
    4.33    9.33    4.00    4.33    4.00    4.00    5.00    2.67       1
    5.00   10.33    5.00    5.00    5.00    5.00    5.00    4.33       1
    4.67    9.00    3.67    4.67    3.00    5.33    5.33    2.33       2
    3.00    9.67    3.67    3.67    3.67    4.00    4.00    3.67       2
    4.67    7.67    4.00    5.33    5.00    5.33    5.00    4.00       2
    4.33    8.00    4.67    5.00    4.67    6.00    5.00    4.00       2
    3.33   10.33    3.67    3.00    3.33    6.00    5.33    4.00       2
    5.00   11.00    4.67    5.00    5.33    5.33    5.33    4.33       2
    5.00    9.67    5.00    5.00    3.67    5.00    5.00    4.67       2
    4.67   11.00    4.33    5.00    4.33    5.00    5.00    4.67       2
    4.67   11.33    5.33    5.00    4.00    4.00    5.67    4.67       2
